serial_no,exam_name,question,options/A,options/B,options/C,options/D,answer,explanation
1,MAT 2024-2025,মস্তিষ্কের কোন অংশ মানুষের ক্ষুধা নিয়ন্ত্রণ করে?,মেডুলা অবলংগাটা,সেরিবেলাম,হাইপোথ্যালামাস,সেরিব্রাম,C,"হাইপোথ্যালামাস → ক্ষুধা, তৃষ্ণা, ঘাম, ঘুম, রাগ, পীড়ন, ভালোলাগা, ঘৃণা, উদ্বেগ প্রভৃতির কেন্দ্র হিসেবে কাজ করে; স্বয়ংক্রিয় স্নায়ুকেন্দ্রের কেন্দ্র হিসেবে কাজ করে; দেহতাপ নিয়ন্ত্রণ করে; অন্তঃক্ষরা গ্রন্থির ক্ষরণ এবং রক্তচাপ নিয়ন্ত্রণ করে।"
2,MAT 2024-2025,ডেলটয়েড টিউবারসিটি কোন অস্থির অংশ?,আলনা,স্ক্যাপুলা,রেডিয়াস,হিউমেরাস,D,"হিউমেরাস → ঊর্ধ্ববাহুর প্রথম অস্থি, টিউবার্কলের নিচে সার্জিকাল গ্রীবা থেকে মূল দেহ গঠিত হয়, মূল দেহের মধ্যভাগে পেশি সংযুক্তির জন্য খসখসে ডেলটয়েড রিজ রয়েছে।"
3,MAT 2024-2025,ফুসফুসের আবরণকে কি বলে?,গ্লিসন ক্যাপসুল,পেরিকার্ডিয়াম,ডায়াফ্রাম,প্লিওরা,D,ফুসফুসের আবরণ → প্লিউরা; হৃৎপিন্ডের আবরণ → পেরিকার্ডিয়াম; যকৃতের আবরণ→ গ্লিসন'স ক্যাপসুল।
4,MAT 2024-2025,নিচের কোনটি মানুষের দ্বিতীয় মস্তিষ্ক হিসাবে পরিচিত?,সুষুম্না কাণ্ড,এন্টেরিক স্নায়ুতন্ত্র,এক্সট্রিনসিক স্নায়ুতন্ত্র,মেডুলা অবলংগাটা,B,"দুটি ভিন্ন ধরনের স্নায়ুজালক মানুষের খাদ্য পরিপাক নিয়ন্ত্রণ করে-
(i) এক্সট্রিনসিক প্লেক্সাস
(ii) ইনট্রিনসিক প্রেক্সাস / অন্ত্রীয় (Enteric) স্নায়ুতন্ত্রঃ বিজ্ঞানীরা মানুষের দ্বিতীয় মস্তিষ্ক হিসেবে আখ্যায়িত করেছেন।"
5,MAT 2024-2025,কানের কোন অংশ ভারসাম্য রক্ষায় কাজ করে?,কর্ণাস্থি,ভেস্টিবুলার যন্ত্র,টিমপেনিক পর্দা,ককলিয়ার বডি,B,"মানুষের ভারসাম্যের অঙ্গকে ভেস্টিবুলার অ্যাপারেটাস / ভেস্টিবুলার যন্ত্র বলে। ইউট্রিকুলাস, স্যাকুলাস ও অর্ধবৃত্তাকার নালিগুলো ভেস্টিবুলার যন্ত্র গঠন করে।"
6,MAT 2024-2025,নিচের কোন হরমোনটি মানুষের ডিম্বাশয় থেকে নিঃসৃত হয়??,অক্সিটোসিন,প্রোল্যাকটিন,প্রজেস্টেরন,থাইরোনিন,C,"ডিম্বাশয় নিঃসৃত হরমোন → ইস্ট্রোজেন ও প্রজেস্টেরন;
থাইরোনিন → থাইরয়েড নিঃসৃত হরমোন;
প্রোল্যাকটিন → অগ্র পিটুইটারি নিঃসৃত হরমোন;
অক্সিটোসিন → পশ্চাৎ পিটুইটারি নিঃসৃত হরমোন।"
7,MAT 2024-2025,কোন চক্রের মাধ্যমে যকৃতে ইউরিয়া তৈরী হয়?,কার্বন চক্র,অরনিথিন চক্র,ক্রেবস চক্র,নাইট্রোজেন চক্র,B,"অরনিথিন চক্র এ প্রক্রিয়ায় যকৃত অত্যন্ত বিষাক্ত NH3 কে শর্করা বিপাকে সৃষ্ট CO2 এর সাথে যুক্ত করে ইউরিয়া তৈরি করে, যা মূত্ররূপে দেহ হতে নিষ্কাশিত হয়। NH3 + CO2 → ইউরিয়া।"
8,MAT 2024-2025,কোন এন্টিবডি প্রধানত এলার্জির সাথে সংশ্লিষ্ট?,IgA,IgM,IgG,IgE,D,"IgE → এটি দুর্লভ Ig, প্রদাহ সাড়া সক্রিয় করে, অ্যালার্জিক সাড়াদানে নেতিবাচক ভূমিকা রাখে।
IgG → গর্ভাবস্থায় অমরা অতিক্রম করে।
IgA → মায়ের বুকের দুধের মাধ্যমে শিশুতে স্থানান্তরিত হয়।"
9,MAT 2024-2025,মানবদেহে সপ্তম করোটিক স্নায়ুর নাম কি?,ট্রকলিয়ার স্নায়ু,ফেসিয়াল স্নায়ু,ভেগাস স্নায়ু,অপটিক স্নায়ু,B,"সপ্তম করোটিক স্নায়ু → ফেসিয়াল স্নায়ু
দ্বিতীয় করোটিক স্নায়ু → অপটিক স্নায়ু
চতুর্থ করোটিক স্নায়ু → ট্রকলিয়ার স্নায়ু
দশম করোটিক স্নায়ু → ভেগাস স্নায়ু"
10,MAT 2024-2025,এনজিওপ্লাস্টি করলে কি হয়?,হৃদস্পন্দন বৃদ্ধি পায়,সরু ধমনী প্রশস্ত হয়,হৃদস্পন্দনের গতি ধীর হয়,রক্ত সঞ্চালনের গতি বৃদ্ধি পায়,B,বড় ধরণের অস্ত্রোপচার না করে সংকীর্ণ লুমেনযুক্ত বা রুদ্ধ হয়ে যাওয়া করোনারি ধমনি পুনরায় প্রশস্ত লুমেনযুক্ত করা বা উন্মুক্ত করার পদ্ধতিকে এনজিওপ্লাস্টি বলে। এনজিওপ্লাস্টির উদ্দেশ্য হচ্ছে সরু বা বন্ধ হয়ে যাওয়া লুমেনের ভিতর দিয়ে হৃৎপিন্ডে পর্যাপ্ত O₂ সরবরাহ নিশ্চিত করে হৃৎপিন্ড ও দেহকে সচল রাখা।
11,MAT 2024-2025,কোন কোষ হেপারিন তৈরী ও নিঃসরণ করে?,নিউট্রোফিল,লিম্ফোসাইট,মোনোসাইট,বেসোফিল,D,"বেসোফিল → হেপারিন উৎপন্ন ও নিঃসরণ করে যা রক্তনালির অভ্যন্তরে রক্তজমাট রোধ করে।
ইওসিনোফিল → রক্তে প্রবেশকৃত কৃমির লার্ভা ধ্বংস করে এবং অ্যালার্জিতে সাড়া দেয়।"
12,MAT 2024-2025,ডাক্টাস ক্যুভেইরি রুই মাছের কোন তন্ত্রের অংশ?,শ্বসনতন্ত্র,শিরাতন্ত্র,রেচনতন্ত্র,ধমনিতন্ত্র,B,রুইমাছের দেহের সামনের অংশ থেকে সম্মুখ কার্ডিনাল শিরা ও জুগুলার শিরা রক্ত সংগ্রহ করে ডাক্টাস ক্যুভিয়েরি (ductus cuvieris) তে উন্মুক্ত হয়।
13,MAT 2024-2025,পেসমেকারের কাজ কি?,রক্তকে তরল রাখে,রক্ত সঞ্চালন বৃদ্ধি করে,হৃদরোগ প্রতিরোধ করে,হৃদস্পন্দনের ধীরগতি নিয়ন্ত্রণ করে,D,হার্ট এটাক ঘটতে পারে এমন ধীর হৃৎস্পন্দন কিংবা হার্ট সার্জারির সময় জরুরী ভিত্তিতে অস্থায়ী পেসমেকার ব্যবহার করা হয়। পেসমেকার ব্যবহারে সব ধরণের অ্যারিথমিয়ার হাত থেকে রক্ষা পাওয়া যায়।
